dataset,scale,offset,orig_mb,comp_mb,ratio,rmse,psnr,max_error,comp_speed_mb_s,decomp_speed_mb_s
Simulated_Stack,0.1,49.0,250.0,75.24346446990967,3.3225477024649304,47464.93285455993,2.8020086584496386,64694.0,270.6165504357275,83.35988806886697
Simulated_Stack,0.5,49.0,250.0,41.61370658874512,6.007635956841567,768.583740470782,38.61564222237436,24593.0,282.5959610720295,145.13025043989168
Simulated_Stack,0.8,49.0,250.0,32.375075340270996,7.721989752067937,96.94970906537114,56.59853587230056,3021.0,320.6545785469309,171.73197075453936
Simulated_Stack,1.0,49.0,250.0,27.996810913085938,8.929588472633787,4.37761669271365,83.50471144015583,48.0,284.00304018953483,183.17367113350966
Simulated_Stack,1.5,49.0,250.0,22.238675117492676,11.241676884040317,71.65963767464483,59.223973916174614,2192.0,319.3953638233328,223.1845606821111
Simulated_Stack,2.0,49.0,250.0,22.433258056640625,11.144168152873174,88.79020095250809,57.36216529736289,2712.0,311.0330556276591,227.21667103832402
Simulated_Stack,4.0,49.0,250.0,16.731698989868164,14.941698398434424,99.77129359614612,56.34935401231054,3055.0,309.30693135133953,301.65775519467235
Real_Microscopy,0.1,51.0,250.0,89.30439567565918,2.799414274163663,37727.95696800258,4.79620031400768,65140.0,298.42046500182846,84.73925398134035
Real_Microscopy,0.5,51.0,250.0,53.72038745880127,4.653726672982908,1569.1668013359954,32.4160838504821,20176.0,302.9998091076791,147.28209393481325
Real_Microscopy,0.8,51.0,250.0,43.319393157958984,5.771087306980615,220.76548152494118,49.45084269734812,5140.0,326.4158059677771,170.0840181403125
Real_Microscopy,1.0,51.0,250.0,38.85041332244873,6.434937974148754,12.670379536882175,74.27367359088817,782.0,307.07484319859805,177.00233295977938
Real_Microscopy,1.5,51.0,250.0,29.9613676071167,8.34407839048768,159.30361330751285,52.28495354462857,2703.0,321.80231219378754,198.27124307393296
Real_Microscopy,2.0,51.0,250.0,25.643836975097656,9.748931107414668,196.19224791382427,50.47582921063047,2431.0,304.3379805265881,219.29025285229312
Real_Microscopy,4.0,51.0,250.0,20.744511604309082,12.051380373210117,220.41687784642545,49.464569146943646,2727.0,318.13807033215767,252.1126978370171
